epoch,elbo,nll,kl,prior_mean,prior_std
84,[19064.732],9201.053,[9863.694],-0.00136529,0.051664876
,,,,,
85,[19013.922],9139.254,[9874.659],-0.00136272,0.051676862
,,,,,
86,[18988.445],9113.239,[9875.214],-0.001413426,0.051658589
,,,,,
87,[18987.596],9113.481,[9874.1],-0.001371008,0.051664922
,,,,,
88,[18818.355],8948.454,[9869.891],-0.001376375,0.051650075
,,,,,
89,[18965.488],9096.534,[9868.945],-0.001343234,0.051648711
,,,,,
90,[18949.475],9074.526,[9874.953],-0.001430823,0.051632129
,,,,,
91,[18775.65],8891.907,[9883.729],-0.001417406,0.051617327
,,,,,
92,[19052.697],9177.13,[9875.548],-0.001362487,0.051617472
,,,,,
93,[18589.74],8740.834,[9848.913],-0.001343797,0.051622318
,,,,,
94,[18550.61],8707.378,[9843.235],-0.001384509,0.051589126
,,,,,
95,[18811.295],8991.482,[9819.817],-0.001382693,0.051584493
,,,,,
96,[18871.213],9040.213,[9831.008],-0.00129567,0.05160107
,,,,,
97,[18646.482],8805.721,[9840.759],-0.001343656,0.051580339
,,,,,
98,[18449.916],8651.725,[9798.193],-0.001390716,0.051560827
,,,,,
99,[18651.021],8871.123,[9779.906],-0.00143586,0.051531655
,,,,,
100,[18471.23],8699.683,[9771.535],-0.001393966,0.051538074
,,,,,
101,[18540.87],8801.949,[9738.924],-0.001395852,0.051545873
,,,,,
102,[18648.092],8894.224,[9753.866],-0.001364766,0.051554037
,,,,,
103,[18717.217],8965.587,[9751.611],-0.001329822,0.051554973
,,,,,
104,[18612.926],8835.813,[9777.125],-0.001413944,0.05153194
,,,,,
105,[18609.701],8843.036,[9766.668],-0.001408134,0.051535301
,,,,,
106,[18542.162],8775.954,[9766.182],-0.001454818,0.051495409
,,,,,
107,[18540.559],8787.835,[9752.729],-0.001427292,0.051492468
,,,,,
108,[18592.453],8853.255,[9739.198],-0.001361734,0.051506097
,,,,,
109,[18375.65],8632.202,[9743.466],-0.001309673,0.051510614
,,,,,
110,[18387.254],8662.354,[9724.904],-0.001362696,0.051491382
,,,,,
111,[18519.39],8782.59,[9736.792],-0.001418931,0.051502518
,,,,,
112,[18469.203],8722.531,[9746.691],-0.001389785,0.051504639
,,,,,
113,[18546.879],8816.191,[9730.682],-0.00146364,0.051477718
,,,,,
114,[18384.791],8672.509,[9712.291],-0.001421424,0.051488091
,,,,,
115,[18486.264],8776.788,[9709.48],-0.001379837,0.051480605
,,,,,
116,[18520.324],8815.159,[9705.156],-0.001445801,0.051467361
,,,,,
117,[18375.723],8689.553,[9686.175],-0.001399513,0.051460149
,,,,,
118,[18225.693],8538.401,[9687.289],-0.001409452,0.05144901
,,,,,
119,[18236.361],8560.721,[9675.631],-0.001420962,0.051433418
,,,,,
120,[18182.625],8525.059,[9657.576],-0.001340594,0.051453112
,,,,,
121,[18304.213],8652.205,[9652.001],-0.001328808,0.051438319
,,,,,
122,[18188.371],8563.534,[9624.845],-0.001325637,0.051431353
,,,,,
123,[18244.049],8603.041,[9640.999],-0.001357188,0.051431803
,,,,,
124,[18201.758],8543.922,[9657.814],-0.001332857,0.051429065
,,,,,
125,[18182.86],8551.699,[9631.155],-0.001234651,0.051433283
,,,,,
126,[18250.404],8616.74,[9633.67],-0.00126764,0.051436377
,,,,,
