elbo accuracy variance lengthscale
-2.1098e+04 97.7200 0.6810 8.9060
-1.9164e+04 97.6900 0.6812 8.9057
-1.9023e+04 97.7100 0.6812 8.9062
-2.7482e+04 97.7000 0.6817 8.9065
-2.6449e+04 97.7000 0.6818 8.9062
-2.2856e+04 97.7200 0.6819 8.9067
-2.5464e+04 97.6900 0.6823 8.9069
-2.2973e+04 97.7000 0.6825 8.9067
-2.1159e+04 97.7100 0.6825 8.9072
-2.0580e+04 97.6900 0.6829 8.9075
-2.4772e+04 97.7100 0.6831 8.9072
-1.8922e+04 97.7100 0.6832 8.9076
-1.3246e+04 97.7000 0.6836 8.9080
-2.8189e+04 97.6900 0.6837 8.9078
-1.9865e+04 97.7200 0.6838 8.9081
-1.8300e+04 97.7100 0.6842 8.9085
-1.8504e+04 97.6800 0.6843 8.9083
-2.7927e+04 97.7000 0.6844 8.9086
-1.5599e+04 97.7100 0.6848 8.9089
-2.9287e+04 97.6800 0.6850 8.9088
-2.1615e+04 97.6900 0.6851 8.9091
-2.4073e+04 97.7300 0.6855 8.9093
-1.7614e+04 97.6700 0.6856 8.9094
-2.4853e+04 97.6800 0.6857 8.9095
-2.3339e+04 97.7200 0.6862 8.9096
-3.2041e+04 97.6800 0.6862 8.9098
-1.6887e+04 97.6900 0.6864 8.9099
-1.9269e+04 97.7300 0.6868 8.9100
-2.0804e+04 97.6900 0.6868 8.9103
-1.7590e+04 97.6900 0.6870 8.9104
-2.9667e+04 97.7300 0.6874 8.9104
-2.7189e+04 97.7000 0.6874 8.9108
-2.3965e+04 97.6800 0.6876 8.9107
-2.0349e+04 97.7300 0.6881 8.9107
-1.9878e+04 97.7100 0.6880 8.9112
-2.7879e+04 97.7000 0.6882 8.9111
-1.9976e+04 97.7100 0.6887 8.9110
-1.5976e+04 97.7000 0.6886 8.9115
-2.2824e+04 97.7100 0.6887 8.9117
-2.0123e+04 97.7000 0.6893 8.9115
-2.2769e+04 97.7100 0.6892 8.9119
-2.2357e+04 97.7200 0.6893 8.9121
-2.4756e+04 97.7100 0.6899 8.9118
-2.5075e+04 97.7300 0.6899 8.9120
-2.4056e+04 97.7200 0.6899 8.9125
-2.8584e+04 97.7100 0.6905 8.9121
-2.0445e+04 97.7500 0.6906 8.9122
-1.8018e+04 97.7100 0.6905 8.9129
-2.4172e+04 97.7000 0.6910 8.9125
-1.8898e+04 97.7500 0.6912 8.9126
-2.2605e+04 97.7400 0.6910 8.9134
-2.5483e+04 97.7000 0.6916 8.9129
-2.1652e+04 97.7500 0.6918 8.9128
-1.5707e+04 97.7200 0.6916 8.9138
-2.0884e+04 97.7100 0.6921 8.9133
-2.9225e+04 97.7400 0.6924 8.9133
-1.6964e+04 97.7400 0.6921 8.9142
-2.3480e+04 97.7100 0.6927 8.9137
-2.6472e+04 97.7500 0.6930 8.9136
-2.0024e+04 97.7400 0.6927 8.9146
-2.5051e+04 97.7200 0.6933 8.9140
-2.1938e+04 97.7600 0.6936 8.9139
-1.8778e+04 97.7300 0.6932 8.9151
-2.2254e+04 97.7300 0.6939 8.9143
-2.3233e+04 97.7700 0.6942 8.9143
-1.9655e+04 97.7400 0.6938 8.9155
-2.2875e+04 97.7300 0.6944 8.9147
-1.9928e+04 97.7700 0.6947 8.9147
-1.7683e+04 97.7100 0.6944 8.9159
-3.4805e+04 97.7400 0.6950 8.9150
-2.1533e+04 97.7600 0.6952 8.9151
-2.8914e+04 97.7300 0.6950 8.9162
-1.9550e+04 97.7400 0.6956 8.9153
-3.0704e+04 97.7700 0.6958 8.9156
-2.0160e+04 97.7300 0.6956 8.9166
-2.3787e+04 97.7400 0.6961 8.9158
-2.2501e+04 97.7800 0.6963 8.9159
-2.7027e+04 97.7200 0.6962 8.9168
-1.7518e+04 97.7400 0.6966 8.9162
-2.0812e+04 97.7700 0.6968 8.9163
-2.8243e+04 97.7400 0.6968 8.9170
-1.9956e+04 97.7300 0.6972 8.9165
-3.1015e+04 97.7800 0.6974 8.9166
-2.0010e+04 97.7300 0.6974 8.9173
-1.6316e+04 97.7300 0.6978 8.9168
-2.3454e+04 97.7600 0.6979 8.9170
-2.4310e+04 97.7300 0.6980 8.9175
-2.3938e+04 97.7300 0.6983 8.9171
-1.9841e+04 97.7700 0.6985 8.9173
-2.0189e+04 97.7400 0.6987 8.9177
-2.1373e+04 97.7400 0.6990 8.9173
-1.9686e+04 97.7500 0.6990 8.9178
-2.3377e+04 97.7400 0.6992 8.9180
-2.0835e+04 97.7400 0.6996 8.9175
-2.4632e+04 97.7300 0.6995 8.9181
-1.9417e+04 97.7400 0.6998 8.9183
-2.7262e+04 97.7300 0.7001 8.9179
-1.9145e+04 97.7500 0.7001 8.9184
-1.9171e+04 97.7100 0.7004 8.9185
-2.0042e+04 97.7300 0.7007 8.9181
-1.7858e+04 97.7400 0.7006 8.9187
-2.6032e+04 97.7000 0.7010 8.9187
-1.6989e+04 97.7100 0.7012 8.9184
-2.1119e+04 97.7500 0.7012 8.9189
-2.4783e+04 97.7100 0.7017 8.9189
-2.4799e+04 97.7200 0.7018 8.9186
-2.1594e+04 97.7500 0.7018 8.9191
-2.1585e+04 97.7200 0.7022 8.9191
-3.0197e+04 97.7100 0.7024 8.9188
-2.8302e+04 97.7500 0.7024 8.9193
-2.4956e+04 97.7200 0.7028 8.9194
-2.2363e+04 97.7200 0.7030 8.9191
-2.4934e+04 97.7500 0.7030 8.9195
-2.1880e+04 97.7200 0.7034 8.9197
-1.6921e+04 97.7200 0.7035 8.9194
-1.7863e+04 97.7700 0.7036 8.9197
-2.1270e+04 97.7500 0.7040 8.9199
-2.3283e+04 97.7200 0.7041 8.9197
-1.9289e+04 97.7400 0.7042 8.9199
-2.3934e+04 97.7600 0.7045 8.9201
-2.0407e+04 97.7200 0.7046 8.9200
-2.0023e+04 97.7500 0.7048 8.9200
-2.3740e+04 97.7500 0.7052 8.9200
-1.5751e+04 97.6900 0.7052 8.9202
-1.9938e+04 97.7300 0.7053 8.9203
-1.9401e+04 97.7200 0.7057 8.9202
-2.4822e+04 97.7300 0.7057 8.9205
-2.5783e+04 97.7200 0.7059 8.9204
-1.8265e+04 97.7300 0.7063 8.9204
-2.3301e+04 97.7300 0.7062 8.9208
-3.2218e+04 97.7400 0.7065 8.9206
-2.2767e+04 97.7300 0.7069 8.9205
-2.5384e+04 97.7400 0.7068 8.9209
-2.9797e+04 97.7300 0.7070 8.9208
-2.2927e+04 97.7300 0.7075 8.9207
-2.1372e+04 97.7300 0.7074 8.9211
-2.4940e+04 97.7300 0.7075 8.9211
-2.3152e+04 97.7500 0.7080 8.9209
-1.7443e+04 97.7200 0.7079 8.9212
-2.6449e+04 97.7400 0.7080 8.9214
-1.6664e+04 97.7300 0.7086 8.9210
-1.9861e+04 97.7300 0.7085 8.9213
-1.8760e+04 97.7300 0.7085 8.9216
-2.1812e+04 97.7300 0.7091 8.9212
-2.5786e+04 97.7300 0.7091 8.9214
-2.0597e+04 97.7300 0.7091 8.9218
-1.7429e+04 97.7300 0.7096 8.9213
-3.1156e+04 97.7400 0.7097 8.9214
-2.0849e+04 97.7700 0.7096 8.9220
-1.5780e+04 97.7200 0.7101 8.9215
-2.8097e+04 97.7700 0.7103 8.9215
-2.4844e+04 97.7700 0.7101 8.9222
-2.2168e+04 97.7300 0.7106 8.9217
-1.8586e+04 97.7600 0.7108 8.9217
-2.0863e+04 97.7700 0.7106 8.9225
-2.7542e+04 97.7200 0.7112 8.9219
-2.6576e+04 97.7800 0.7114 8.9218
-2.5067e+04 97.7700 0.7111 8.9227
-2.3050e+04 97.7300 0.7117 8.9221
-2.6388e+04 97.7800 0.7119 8.9219
-1.9759e+04 97.7700 0.7116 8.9229
-2.3797e+04 97.7300 0.7122 8.9222
-1.9826e+04 97.7900 0.7125 8.9220
-1.6843e+04 97.7700 0.7121 8.9231
-2.7529e+04 97.7300 0.7128 8.9222
-2.4733e+04 97.7900 0.7130 8.9222
-1.9427e+04 97.7700 0.7127 8.9233
-1.5710e+04 97.7500 0.7133 8.9224
-1.6812e+04 97.7800 0.7135 8.9225
-2.2622e+04 97.7600 0.7132 8.9235
-2.5558e+04 97.7500 0.7138 8.9226
-2.1506e+04 97.7800 0.7140 8.9227
-2.4317e+04 97.7700 0.7137 8.9236
-2.4138e+04 97.7500 0.7143 8.9228
-2.2024e+04 97.7900 0.7144 8.9229
-1.5319e+04 97.7600 0.7143 8.9237
-1.6025e+04 97.7400 0.7147 8.9230
-2.4220e+04 97.7900 0.7149 8.9231
-2.9553e+04 97.7600 0.7148 8.9238
-1.9674e+04 97.7400 0.7152 8.9232
-1.9629e+04 97.8100 0.7155 8.9232
-2.0024e+04 97.7800 0.7154 8.9239
-1.7135e+04 97.7500 0.7157 8.9234
-2.2263e+04 97.8100 0.7159 8.9234
-1.9180e+04 97.7700 0.7160 8.9240
-2.0167e+04 97.7500 0.7163 8.9235
-1.8011e+04 97.8000 0.7164 8.9236
-2.0772e+04 97.7600 0.7166 8.9240
-1.8892e+04 97.7400 0.7168 8.9235
-1.7712e+04 97.7800 0.7169 8.9238
-2.0317e+04 97.7500 0.7171 8.9241
-1.9792e+04 97.7400 0.7174 8.9236
-2.3218e+04 97.7900 0.7174 8.9240
-2.1675e+04 97.7600 0.7176 8.9242
-2.4775e+04 97.7400 0.7179 8.9236
-1.4139e+04 97.7700 0.7179 8.9241
-2.7799e+04 97.7500 0.7181 8.9243
-1.9522e+04 97.7400 0.7184 8.9238
-2.3821e+04 97.7900 0.7184 8.9243
-2.3273e+04 97.7500 0.7187 8.9243
-2.6396e+04 97.7400 0.7189 8.9239
-2.0104e+04 97.7900 0.7188 8.9244
-1.7796e+04 97.7600 0.7193 8.9244
-2.4256e+04 97.7400 0.7194 8.9241
-2.0862e+04 97.7900 0.7194 8.9245
-1.9769e+04 97.7700 0.7198 8.9243
-2.3641e+04 97.7500 0.7200 8.9240
-2.0619e+04 97.7900 0.7199 8.9244
-1.8249e+04 97.7800 0.7204 8.9244
-2.1043e+04 97.7600 0.7205 8.9241
-2.6220e+04 97.7800 0.7205 8.9245
-1.9523e+04 97.7900 0.7209 8.9245
-1.7754e+04 97.7600 0.7210 8.9242
-2.2699e+04 97.7900 0.7210 8.9245
-1.6912e+04 97.7700 0.7214 8.9246
-2.9202e+04 97.7300 0.7215 8.9244
-2.1231e+04 97.8000 0.7215 8.9247
-1.8960e+04 97.7800 0.7219 8.9247
-1.9062e+04 97.7300 0.7220 8.9245
-2.1008e+04 97.7900 0.7221 8.9247
-2.0066e+04 97.7700 0.7225 8.9247
-2.0526e+04 97.7200 0.7225 8.9247
-2.3062e+04 97.7900 0.7226 8.9247
-2.1530e+04 97.7700 0.7230 8.9247
-2.4833e+04 97.7300 0.7230 8.9249
-1.7411e+04 97.7800 0.7231 8.9248
-1.8023e+04 97.7600 0.7235 8.9247
-2.2277e+04 97.7500 0.7235 8.9250
-2.2856e+04 97.7700 0.7237 8.9248
-2.1113e+04 97.7400 0.7241 8.9247
-1.5524e+04 97.7500 0.7240 8.9251
-1.9855e+04 97.7800 0.7242 8.9249
-2.2202e+04 97.7500 0.7246 8.9248
-1.9618e+04 97.7600 0.7245 8.9251
-3.4444e+04 97.7600 0.7247 8.9250
-2.0100e+04 97.7400 0.7252 8.9246
-1.7539e+04 97.7700 0.7250 8.9250
-2.1484e+04 97.7600 0.7251 8.9251
-2.7589e+04 97.7500 0.7257 8.9247
-2.2627e+04 97.7700 0.7255 8.9251
-2.0718e+04 97.7700 0.7256 8.9252
-2.8732e+04 97.7500 0.7262 8.9248
-2.6617e+04 97.7700 0.7261 8.9250
-2.7505e+04 97.7500 0.7261 8.9253
-2.8169e+04 97.7600 0.7266 8.9248
-2.7990e+04 97.7700 0.7267 8.9249
-2.2643e+04 97.7600 0.7266 8.9253
-2.0877e+04 97.7500 0.7271 8.9248
-2.9098e+04 97.7600 0.7272 8.9248
-1.9985e+04 97.7600 0.7270 8.9254
-1.5553e+04 97.7500 0.7276 8.9249
-2.5558e+04 97.7700 0.7277 8.9248
-2.2371e+04 97.7600 0.7275 8.9255
-2.4072e+04 97.7600 0.7280 8.9250
-2.1456e+04 97.7800 0.7282 8.9249
-2.3874e+04 97.7700 0.7280 8.9256
-2.7900e+04 97.7600 0.7285 8.9251
-2.5481e+04 97.7900 0.7287 8.9250
-2.8107e+04 97.7800 0.7284 8.9258
-1.5300e+04 97.7600 0.7289 8.9252
-2.1201e+04 97.7900 0.7292 8.9250
-1.9525e+04 97.7700 0.7288 8.9259
-1.7202e+04 97.7600 0.7294 8.9251
-2.1166e+04 97.8000 0.7297 8.9250
-2.4044e+04 97.7700 0.7293 8.9260
-1.7730e+04 97.7600 0.7299 8.9251
-2.8622e+04 97.8000 0.7301 8.9251
-2.3291e+04 97.7800 0.7298 8.9260
-2.8439e+04 97.7600 0.7304 8.9252
-2.0319e+04 97.7900 0.7306 8.9252
-2.3504e+04 97.7800 0.7303 8.9261
-2.2847e+04 97.7600 0.7309 8.9253
-2.2203e+04 97.7900 0.7310 8.9254
-2.3165e+04 97.7800 0.7308 8.9262
-2.7273e+04 97.7700 0.7313 8.9253
-2.6837e+04 97.8000 0.7315 8.9254
-1.7292e+04 97.7700 0.7313 8.9260
-2.1602e+04 97.7600 0.7317 8.9254
-1.8588e+04 97.8000 0.7319 8.9255
-2.4478e+04 97.7800 0.7318 8.9261
-2.1789e+04 97.7600 0.7322 8.9255
-2.2407e+04 97.8100 0.7324 8.9255
-1.8280e+04 97.7700 0.7323 8.9260
-2.1067e+04 97.7600 0.7326 8.9256
-2.1277e+04 97.8100 0.7328 8.9257
-1.7848e+04 97.7700 0.7328 8.9261
-3.0961e+04 97.7700 0.7331 8.9257
-2.2868e+04 97.8000 0.7332 8.9257
-2.2280e+04 97.7600 0.7333 8.9260
-2.2453e+04 97.7700 0.7336 8.9256
-2.2975e+04 97.8100 0.7336 8.9258
-2.4871e+04 97.7600 0.7338 8.9260
-2.3691e+04 97.7800 0.7341 8.9255
-2.7925e+04 97.8100 0.7340 8.9259
-1.9843e+04 97.7600 0.7343 8.9260
-2.0796e+04 97.7700 0.7345 8.9255
-2.2064e+04 97.8100 0.7344 8.9260
-2.1343e+04 97.7700 0.7347 8.9260
-2.4428e+04 97.7800 0.7350 8.9255
-2.2113e+04 97.8100 0.7349 8.9260
-2.0783e+04 97.7800 0.7353 8.9260
-1.8755e+04 97.7800 0.7355 8.9256
-1.8860e+04 97.7800 0.7354 8.9260
-2.7221e+04 97.7900 0.7358 8.9259
-2.6005e+04 97.7700 0.7360 8.9256
-2.2448e+04 97.8000 0.7359 8.9260
-2.5183e+04 97.8000 0.7363 8.9259
-2.2680e+04 97.7800 0.7364 8.9256
-2.0521e+04 97.8100 0.7364 8.9260
-2.0374e+04 97.8000 0.7368 8.9259
-2.4567e+04 97.7600 0.7369 8.9257
-1.8723e+04 97.8000 0.7369 8.9259
-1.3129e+04 97.8100 0.7373 8.9259
-2.7739e+04 97.7600 0.7374 8.9257
-1.9613e+04 97.8100 0.7374 8.9259
-1.7904e+04 97.8000 0.7377 8.9259
-1.8154e+04 97.7600 0.7378 8.9257
-2.7693e+04 97.8000 0.7378 8.9259
-1.5383e+04 97.7700 0.7382 8.9259
-2.8710e+04 97.7600 0.7383 8.9258
-2.1326e+04 97.8100 0.7383 8.9259
-2.3273e+04 97.7800 0.7387 8.9258
-1.7393e+04 97.7600 0.7387 8.9259
-2.4228e+04 97.8100 0.7388 8.9258
-2.2785e+04 97.7800 0.7393 8.9256
-3.1755e+04 97.7500 0.7392 8.9258
-1.6528e+04 97.8000 0.7393 8.9257
-1.9172e+04 97.7700 0.7397 8.9256
-2.0570e+04 97.7800 0.7396 8.9259
-1.7138e+04 97.7900 0.7398 8.9258
-2.8869e+04 97.7800 0.7402 8.9256
-2.6915e+04 97.7800 0.7401 8.9259
-2.3949e+04 97.7900 0.7403 8.9257
-2.0182e+04 97.7700 0.7407 8.9255
-1.9658e+04 97.7800 0.7405 8.9259
-2.7531e+04 97.8000 0.7407 8.9257
-1.9651e+04 97.7800 0.7412 8.9254
-1.5711e+04 97.8100 0.7410 8.9258
-2.2683e+04 97.7900 0.7411 8.9258
-1.9548e+04 97.7700 0.7416 8.9254
-2.2526e+04 97.8100 0.7415 8.9258
-2.2160e+04 97.7600 0.7415 8.9258
-2.4476e+04 97.7600 0.7421 8.9254
-2.4907e+04 97.8100 0.7420 8.9256
-2.3777e+04 97.7700 0.7419 8.9258
-2.8026e+04 97.7700 0.7425 8.9253
-2.0168e+04 97.8000 0.7425 8.9253
-1.7407e+04 97.7500 0.7424 8.9258
-2.3823e+04 97.7800 0.7429 8.9253
-1.8498e+04 97.8100 0.7430 8.9252
-2.2241e+04 97.7600 0.7428 8.9259
-2.4888e+04 97.7900 0.7433 8.9253
-2.1501e+04 97.8100 0.7435 8.9252
-1.5594e+04 97.7500 0.7432 8.9259
-2.0714e+04 97.7900 0.7437 8.9254
-2.8957e+04 97.8300 0.7439 8.9252
-1.6762e+04 97.7700 0.7436 8.9260
-2.2993e+04 97.7900 0.7441 8.9254
-2.6043e+04 97.8100 0.7444 8.9251
-1.9725e+04 97.7800 0.7440 8.9260
-2.4382e+04 97.7900 0.7446 8.9253
-2.1488e+04 97.8300 0.7448 8.9251
-1.8502e+04 97.7900 0.7444 8.9261
-2.2027e+04 97.7900 0.7450 8.9252
-2.2538e+04 97.8200 0.7452 8.9251
-1.9518e+04 97.7800 0.7448 8.9261
-2.2484e+04 97.7900 0.7454 8.9252
-1.9407e+04 97.8200 0.7456 8.9252
-1.7520e+04 97.7800 0.7452 8.9261
-3.4404e+04 97.7900 0.7458 8.9252
-2.1159e+04 97.8200 0.7460 8.9253
-2.8598e+04 97.7800 0.7457 8.9260
-1.8655e+04 97.7900 0.7463 8.9252
-3.0410e+04 97.8200 0.7464 8.9253
-1.9803e+04 97.7600 0.7461 8.9260
-2.3579e+04 97.7800 0.7466 8.9253
-2.1974e+04 97.8200 0.7468 8.9253
-2.5809e+04 97.7700 0.7466 8.9259
-1.7166e+04 97.7900 0.7470 8.9253
-2.0737e+04 97.8200 0.7472 8.9254
-2.7962e+04 97.7700 0.7471 8.9258
-1.9551e+04 97.7900 0.7475 8.9253
-3.0407e+04 97.8200 0.7476 8.9254
-1.9638e+04 97.7600 0.7476 8.9258
-1.6054e+04 97.7900 0.7479 8.9253
-2.3112e+04 97.8200 0.7480 8.9254
-2.3817e+04 97.7600 0.7481 8.9256
-2.3979e+04 97.8000 0.7483 8.9252
-1.9440e+04 97.8000 0.7484 8.9254
-1.9909e+04 97.7600 0.7485 8.9255
-2.1256e+04 97.8100 0.7488 8.9252
-1.9483e+04 97.8100 0.7487 8.9255
-2.3190e+04 97.7700 0.7490 8.9255
-2.0552e+04 97.8100 0.7493 8.9250
-2.4437e+04 97.8100 0.7492 8.9255
-1.9378e+04 97.7700 0.7494 8.9256
-2.6147e+04 97.8100 0.7497 8.9251
-1.8887e+04 97.8100 0.7495 8.9255
-1.9058e+04 97.7800 0.7499 8.9254
-1.9763e+04 97.8000 0.7501 8.9250
-1.7770e+04 97.8000 0.7500 8.9255
-2.5851e+04 97.8000 0.7504 8.9253
-1.6935e+04 97.8000 0.7505 8.9250
-2.0760e+04 97.7900 0.7504 8.9254
-2.4413e+04 97.8100 0.7508 8.9252
-2.4181e+04 97.8000 0.7510 8.9249
-2.1320e+04 97.8000 0.7509 8.9253
-2.1150e+04 97.8200 0.7513 8.9251
-2.9494e+04 97.7900 0.7514 8.9248
-2.8144e+04 97.8100 0.7513 8.9252
-2.4595e+04 97.8200 0.7517 8.9250
-2.2114e+04 97.7800 0.7518 8.9248
-2.4590e+04 97.8200 0.7518 8.9251
-2.1430e+04 97.8200 0.7521 8.9250
-1.6695e+04 97.7800 0.7522 8.9248
-1.7629e+04 97.8100 0.7522 8.9251
-2.1007e+04 97.8300 0.7526 8.9249
-2.3121e+04 97.7800 0.7527 8.9248
-1.9188e+04 97.8100 0.7526 8.9250
-2.3433e+04 97.8100 0.7530 8.9249
