elbo accuracy variance lengthscale
-2.4078e+04 97.5300 0.4952 8.1913
-2.0649e+04 97.5400 0.4968 8.2007
-2.3720e+04 97.5400 0.4981 8.2110
-2.9617e+04 97.5400 0.4999 8.2193
-2.8226e+04 97.5400 0.5015 8.2280
-2.9026e+04 97.5700 0.5026 8.2379
-2.4173e+04 97.5400 0.5044 8.2456
-2.9935e+04 97.5400 0.5060 8.2538
-2.1914e+04 97.5800 0.5070 8.2633
-2.7399e+04 97.5400 0.5087 8.2705
-2.1364e+04 97.5400 0.5102 8.2782
-1.9129e+04 97.5700 0.5111 8.2873
-3.1082e+04 97.5500 0.5129 8.2939
-2.8416e+04 97.5400 0.5143 8.3012
-2.1149e+04 97.5700 0.5151 8.3099
-1.6994e+04 97.5600 0.5168 8.3160
-1.8792e+04 97.5500 0.5181 8.3230
-2.4099e+04 97.5600 0.5189 8.3313
-2.6840e+04 97.5600 0.5205 8.3371
-2.2771e+04 97.5600 0.5217 8.3437
-2.6397e+04 97.5500 0.5226 8.3515
-2.6416e+04 97.5500 0.5241 8.3570
-2.4501e+04 97.5600 0.5252 8.3634
-1.6214e+04 97.5700 0.5261 8.3708
-1.6975e+04 97.5200 0.5275 8.3760
-2.6132e+04 97.5600 0.5286 8.3821
-3.0613e+04 97.5700 0.5294 8.3891
-2.1837e+04 97.5000 0.5307 8.3941
-2.1584e+04 97.5600 0.5318 8.3998
-2.0987e+04 97.5800 0.5327 8.4064
-1.7940e+04 97.5300 0.5338 8.4114
-2.3660e+04 97.5500 0.5349 8.4168
-2.0637e+04 97.5800 0.5358 8.4229
-2.3178e+04 97.5300 0.5369 8.4276
-2.0166e+04 97.5600 0.5378 8.4329
-2.3767e+04 97.5800 0.5387 8.4386
-2.0139e+04 97.5300 0.5398 8.4430
-1.8038e+04 97.5500 0.5406 8.4482
-2.1889e+04 97.5900 0.5415 8.4537
-2.1710e+04 97.5300 0.5426 8.4578
-2.4585e+04 97.5400 0.5433 8.4629
-2.4664e+04 97.5900 0.5442 8.4681
-2.7209e+04 97.5600 0.5453 8.4719
-1.5053e+04 97.5400 0.5459 8.4769
-2.8164e+04 97.6000 0.5469 8.4818
-2.1718e+04 97.5500 0.5478 8.4855
-2.7915e+04 97.5400 0.5485 8.4902
-2.5677e+04 97.5900 0.5494 8.4949
-2.7767e+04 97.6000 0.5503 8.4984
-2.0951e+04 97.5100 0.5509 8.5030
-1.9471e+04 97.6000 0.5519 8.5075
-2.5772e+04 97.6000 0.5526 8.5108
-2.2387e+04 97.5100 0.5532 8.5152
-2.2001e+04 97.5800 0.5543 8.5194
-2.6916e+04 97.5900 0.5550 8.5225
-2.3083e+04 97.5300 0.5556 8.5268
-1.8854e+04 97.5800 0.5566 8.5309
-2.2649e+04 97.6100 0.5572 8.5339
-2.8964e+04 97.5400 0.5578 8.5380
-2.1957e+04 97.5700 0.5588 8.5420
-2.0391e+04 97.6000 0.5594 8.5448
-2.5338e+04 97.5500 0.5600 8.5487
-1.7802e+04 97.5800 0.5609 8.5527
-3.0886e+04 97.6100 0.5616 8.5554
-2.3074e+04 97.5500 0.5621 8.5591
-2.0421e+04 97.5900 0.5630 8.5629
-1.9970e+04 97.6100 0.5636 8.5655
-2.2707e+04 97.5500 0.5641 8.5690
-2.1354e+04 97.5900 0.5649 8.5727
-2.2155e+04 97.6000 0.5655 8.5753
-2.4392e+04 97.5500 0.5661 8.5785
-2.3495e+04 97.5700 0.5669 8.5819
-2.6449e+04 97.6000 0.5675 8.5847
-1.8283e+04 97.5400 0.5680 8.5877
-1.9642e+04 97.5600 0.5688 8.5910
-2.4151e+04 97.6200 0.5693 8.5937
-2.4319e+04 97.5300 0.5699 8.5964
-2.2503e+04 97.5700 0.5707 8.5995
-1.7330e+04 97.6300 0.5711 8.6023
-2.2082e+04 97.5200 0.5717 8.6050
-2.4457e+04 97.5700 0.5725 8.6079
-2.0461e+04 97.6200 0.5729 8.6106
-3.7667e+04 97.5800 0.5734 8.6132
-2.1056e+04 97.5600 0.5743 8.6158
-1.8358e+04 97.6200 0.5746 8.6185
-2.2271e+04 97.5800 0.5751 8.6212
-2.9691e+04 97.5800 0.5759 8.6236
-2.3971e+04 97.6400 0.5763 8.6262
-2.2213e+04 97.5700 0.5767 8.6289
-3.0859e+04 97.5900 0.5776 8.6311
-2.8208e+04 97.6400 0.5779 8.6336
-2.9822e+04 97.5700 0.5783 8.6363
-3.1897e+04 97.6100 0.5792 8.6383
-3.0602e+04 97.6500 0.5796 8.6407
-2.3834e+04 97.5900 0.5799 8.6435
-2.1864e+04 97.5900 0.5807 8.6454
-3.3129e+04 97.6400 0.5812 8.6476
-2.1736e+04 97.5800 0.5814 8.6505
-1.7064e+04 97.5900 0.5822 8.6521
-2.7541e+04 97.6200 0.5827 8.6542
-2.3327e+04 97.5900 0.5829 8.6572
-2.6270e+04 97.6000 0.5837 8.6588
-2.3555e+04 97.6100 0.5842 8.6607
-2.5586e+04 97.5900 0.5843 8.6637
-2.9476e+04 97.6100 0.5851 8.6651
-2.7145e+04 97.6100 0.5857 8.6670
-2.9366e+04 97.5900 0.5857 8.6701
-1.6544e+04 97.6000 0.5865 8.6714
-2.3047e+04 97.6100 0.5871 8.6731
-2.1646e+04 97.6200 0.5870 8.6763
-1.8087e+04 97.6000 0.5879 8.6773
-2.2331e+04 97.6100 0.5885 8.6790
-2.5649e+04 97.6100 0.5884 8.6822
-1.8770e+04 97.6000 0.5893 8.6831
-3.2573e+04 97.6000 0.5898 8.6848
-2.4182e+04 97.6200 0.5898 8.6879
-3.1271e+04 97.6200 0.5906 8.6888
-2.2039e+04 97.6100 0.5912 8.6905
-2.5880e+04 97.5900 0.5911 8.6935
-2.4540e+04 97.5800 0.5919 8.6943
-2.3844e+04 97.6200 0.5924 8.6960
-2.5741e+04 97.6000 0.5924 8.6989
-2.9786e+04 97.6200 0.5932 8.6997
-2.8182e+04 97.6100 0.5936 8.7013
-1.7857e+04 97.6100 0.5937 8.7040
-2.2863e+04 97.6000 0.5944 8.7049
-1.9822e+04 97.6200 0.5949 8.7065
-2.6361e+04 97.6200 0.5950 8.7091
-2.3191e+04 97.6200 0.5956 8.7100
-2.3649e+04 97.6000 0.5961 8.7116
-1.8872e+04 97.6200 0.5962 8.7140
-2.1978e+04 97.6200 0.5968 8.7151
-2.2541e+04 97.6000 0.5972 8.7165
-1.8833e+04 97.6200 0.5975 8.7188
-3.2863e+04 97.6200 0.5980 8.7198
-2.4856e+04 97.6000 0.5984 8.7213
-2.5474e+04 97.6100 0.5987 8.7234
-2.3567e+04 97.6200 0.5992 8.7243
-2.3809e+04 97.5800 0.5995 8.7260
-2.6407e+04 97.6200 0.5999 8.7279
-2.4990e+04 97.6400 0.6004 8.7287
-2.9884e+04 97.5700 0.6006 8.7306
-2.1025e+04 97.6200 0.6010 8.7323
-2.1938e+04 97.6100 0.6015 8.7331
-2.3942e+04 97.5700 0.6017 8.7349
-2.2996e+04 97.6200 0.6021 8.7366
-2.6494e+04 97.6200 0.6026 8.7373
-2.3011e+04 97.5800 0.6028 8.7392
-2.1834e+04 97.6200 0.6033 8.7408
-2.0358e+04 97.6200 0.6037 8.7415
-1.9542e+04 97.5800 0.6039 8.7432
-2.8263e+04 97.6200 0.6044 8.7448
-2.7359e+04 97.6100 0.6048 8.7456
-2.3615e+04 97.5800 0.6050 8.7472
-2.5887e+04 97.6200 0.6056 8.7488
-2.3926e+04 97.6100 0.6059 8.7495
-2.1698e+04 97.6000 0.6061 8.7511
-2.1010e+04 97.6100 0.6066 8.7527
-2.5226e+04 97.6200 0.6070 8.7534
-1.9458e+04 97.6100 0.6072 8.7549
-1.3584e+04 97.6000 0.6077 8.7565
-2.9419e+04 97.6200 0.6080 8.7572
-2.0209e+04 97.6000 0.6083 8.7586
-1.9395e+04 97.6100 0.6088 8.7602
-1.9302e+04 97.6200 0.6091 8.7608
-2.8793e+04 97.5900 0.6093 8.7622
-1.6015e+04 97.6100 0.6098 8.7638
-3.0292e+04 97.6100 0.6101 8.7645
-2.2299e+04 97.6000 0.6104 8.7658
-2.5350e+04 97.6100 0.6109 8.7672
-1.8083e+04 97.6300 0.6111 8.7680
-2.6355e+04 97.5900 0.6114 8.7691
-2.4515e+04 97.6200 0.6119 8.7705
-3.2587e+04 97.6200 0.6122 8.7713
-1.7833e+04 97.6000 0.6124 8.7724
-1.9654e+04 97.6400 0.6129 8.7737
-2.1138e+04 97.6300 0.6131 8.7748
-1.8634e+04 97.6000 0.6134 8.7758
-3.0689e+04 97.6400 0.6140 8.7769
-2.7679e+04 97.6400 0.6141 8.7780
-2.4301e+04 97.6100 0.6144 8.7788
-2.0766e+04 97.6400 0.6150 8.7799
-2.0585e+04 97.6500 0.6151 8.7811
-2.8521e+04 97.6100 0.6154 8.7819
-2.0298e+04 97.6500 0.6160 8.7828
-1.6477e+04 97.6600 0.6161 8.7840
-2.3109e+04 97.6000 0.6163 8.7851
-2.1544e+04 97.6400 0.6169 8.7859
-2.3417e+04 97.6600 0.6171 8.7870
-2.2827e+04 97.6000 0.6172 8.7881
-2.5308e+04 97.6500 0.6179 8.7887
-2.5356e+04 97.6500 0.6180 8.7897
-2.4780e+04 97.6000 0.6182 8.7909
-2.9666e+04 97.6500 0.6188 8.7914
-2.1251e+04 97.6500 0.6190 8.7923
-1.8669e+04 97.6100 0.6191 8.7938
-2.4884e+04 97.6400 0.6197 8.7942
-1.9707e+04 97.6500 0.6200 8.7951
-2.3704e+04 97.6200 0.6199 8.7967
-2.6929e+04 97.6600 0.6206 8.7970
-2.2280e+04 97.6500 0.6209 8.7977
-1.6158e+04 97.6200 0.6208 8.7994
-2.1223e+04 97.6600 0.6215 8.7997
-3.0004e+04 97.6400 0.6218 8.8004
-1.7306e+04 97.6300 0.6217 8.8022
-2.4317e+04 97.6600 0.6223 8.8024
-2.7484e+04 97.6500 0.6227 8.8029
-2.0611e+04 97.6300 0.6226 8.8048
-2.6330e+04 97.6700 0.6232 8.8048
-2.3038e+04 97.6500 0.6237 8.8054
-1.9177e+04 97.6300 0.6234 8.8074
-2.2795e+04 97.6700 0.6241 8.8073
-2.4562e+04 97.6500 0.6245 8.8079
-1.9988e+04 97.6300 0.6242 8.8100
-2.3573e+04 97.6900 0.6250 8.8098
-2.0661e+04 97.6500 0.6254 8.8105
-1.7922e+04 97.6300 0.6251 8.8124
-3.5595e+04 97.6900 0.6259 8.8122
-2.2292e+04 97.6400 0.6262 8.8129
-2.9743e+04 97.6400 0.6260 8.8148
-2.0255e+04 97.6900 0.6267 8.8146
-3.1423e+04 97.6500 0.6270 8.8154
-2.0828e+04 97.6400 0.6269 8.8172
-2.4487e+04 97.6700 0.6275 8.8170
-2.3617e+04 97.6500 0.6278 8.8177
-2.7822e+04 97.6400 0.6278 8.8193
-1.8056e+04 97.6600 0.6283 8.8193
-2.1280e+04 97.6300 0.6287 8.8200
-2.8830e+04 97.6400 0.6287 8.8215
-2.0657e+04 97.6700 0.6291 8.8216
-3.2474e+04 97.6100 0.6295 8.8222
-2.0731e+04 97.6400 0.6295 8.8236
-1.6721e+04 97.6600 0.6300 8.8238
-2.4171e+04 97.6200 0.6303 8.8245
-2.5186e+04 97.6500 0.6304 8.8257
-2.4270e+04 97.6700 0.6308 8.8258
-2.0676e+04 97.6200 0.6311 8.8266
-2.0828e+04 97.6400 0.6313 8.8277
-2.1795e+04 97.6700 0.6317 8.8279
-2.0210e+04 97.6200 0.6318 8.8289
-2.3901e+04 97.6700 0.6321 8.8298
-2.1428e+04 97.6600 0.6325 8.8298
-2.5127e+04 97.6000 0.6326 8.8309
-1.9876e+04 97.6500 0.6329 8.8318
-2.8331e+04 97.6500 0.6333 8.8319
-1.9711e+04 97.6300 0.6334 8.8330
-1.9431e+04 97.6600 0.6338 8.8337
-2.0775e+04 97.6400 0.6341 8.8338
-1.8092e+04 97.6300 0.6342 8.8349
-2.6413e+04 97.6600 0.6346 8.8356
-1.7181e+04 97.6300 0.6349 8.8357
-2.1740e+04 97.6200 0.6350 8.8368
-2.5821e+04 97.6600 0.6355 8.8375
-2.6196e+04 97.6400 0.6357 8.8375
-2.1911e+04 97.6200 0.6358 8.8385
-2.2395e+04 97.6600 0.6363 8.8392
-3.1048e+04 97.6300 0.6365 8.8393
-2.8522e+04 97.6100 0.6366 8.8403
-2.5873e+04 97.6600 0.6371 8.8411
-2.2861e+04 97.6200 0.6373 8.8411
-2.5671e+04 97.6200 0.6375 8.8420
-2.2892e+04 97.6600 0.6379 8.8429
-1.7295e+04 97.6400 0.6382 8.8429
-1.8311e+04 97.6200 0.6383 8.8438
-2.1685e+04 97.6700 0.6387 8.8446
-2.3925e+04 97.6300 0.6389 8.8447
-1.9584e+04 97.6200 0.6391 8.8455
-2.4889e+04 97.6800 0.6395 8.8463
-2.1061e+04 97.6400 0.6397 8.8465
-2.1074e+04 97.6100 0.6399 8.8470
-2.4203e+04 97.6600 0.6403 8.8477
-1.6161e+04 97.6400 0.6405 8.8481
-2.0339e+04 97.6100 0.6407 8.8487
-1.9588e+04 97.6700 0.6411 8.8493
-2.6090e+04 97.6500 0.6412 8.8498
-2.6729e+04 97.6100 0.6415 8.8502
-1.8582e+04 97.6600 0.6419 8.8508
-2.3892e+04 97.6500 0.6420 8.8515
-3.2758e+04 97.6100 0.6422 8.8518
-2.3557e+04 97.6800 0.6427 8.8523
-2.6420e+04 97.6500 0.6427 8.8530
-3.0439e+04 97.6100 0.6430 8.8533
-2.3818e+04 97.6700 0.6435 8.8538
-2.1759e+04 97.6500 0.6435 8.8545
-2.6017e+04 97.6300 0.6437 8.8549
-2.4060e+04 97.6900 0.6443 8.8552
-1.7795e+04 97.6700 0.6443 8.8559
-2.7070e+04 97.6400 0.6444 8.8565
-1.6919e+04 97.6700 0.6450 8.8567
-2.0399e+04 97.6800 0.6451 8.8573
-1.9078e+04 97.6500 0.6452 8.8580
-2.2804e+04 97.6800 0.6458 8.8581
-2.6115e+04 97.6800 0.6459 8.8586
-2.1514e+04 97.6400 0.6459 8.8594
-1.8003e+04 97.6800 0.6465 8.8594
-3.1937e+04 97.6900 0.6467 8.8598
-2.1258e+04 97.6400 0.6466 8.8608
-1.6171e+04 97.6900 0.6472 8.8608
-2.8514e+04 97.6800 0.6475 8.8611
-2.5600e+04 97.6400 0.6474 8.8623
-2.2720e+04 97.6900 0.6479 8.8622
-1.9130e+04 97.7000 0.6482 8.8625
-2.1455e+04 97.6700 0.6481 8.8638
-2.7920e+04 97.6800 0.6486 8.8635
-2.6901e+04 97.6700 0.6490 8.8638
-2.5701e+04 97.6600 0.6488 8.8651
-2.3287e+04 97.6900 0.6493 8.8648
-2.7531e+04 97.6800 0.6497 8.8651
-2.0345e+04 97.6500 0.6494 8.8665
-2.4669e+04 97.6900 0.6501 8.8661
-2.0149e+04 97.6700 0.6504 8.8663
-1.7440e+04 97.6300 0.6501 8.8678
-2.8458e+04 97.6900 0.6508 8.8672
-2.5498e+04 97.6800 0.6512 8.8675
-1.9929e+04 97.6500 0.6508 8.8691
-1.5941e+04 97.6700 0.6515 8.8685
-1.7165e+04 97.6600 0.6518 8.8689
-2.3055e+04 97.6500 0.6516 8.8704
-2.5726e+04 97.6700 0.6522 8.8698
-2.1740e+04 97.6600 0.6525 8.8702
-2.5054e+04 97.6400 0.6523 8.8715
-2.4665e+04 97.6600 0.6529 8.8710
