epoch,elbo,nll,kl,prior_mean,prior_std
85,[162075.2],156846.61,[5228.5293],0.15238301,1.099236488
,,,,,
86,[162095.28],156866.7,[5228.5986],0.15294297,1.099807739
,,,,,
87,[161308.61],156077.81,[5230.678],0.15353867,1.100466609
,,,,,
88,[160516.98],155286.83,[5230.2266],0.15411526,1.100976706
,,,,,
89,[160258.62],155027.83,[5230.858],0.1547371,1.10160327
,,,,,
90,[159607.72],154376.12,[5231.4536],0.1553546,1.102195621
,,,,,
91,[159690.56],154459.39,[5231.1436],0.15587424,1.102739453
,,,,,
92,[160555.72],155325.6,[5230.096],0.1564589,1.103250504
,,,,,
93,[160214.23],154984.75,[5229.5034],0.157134,1.103914738
,,,,,
94,[158364.48],153130.81,[5233.722],0.15768261,1.10439682
,,,,,
95,[158513.69],153281.78,[5231.8315],0.15821177,1.104919434
,,,,,
96,[160304.6],155069.95,[5234.489],0.15884069,1.10553658
,,,,,
97,[158451.3],153218.62,[5232.8433],0.15934178,1.106010199
,,,,,
98,[157091.53],151865.7,[5225.9087],0.15979359,1.106369257
,,,,,
99,[157793.36],152572.83,[5220.586],0.16039912,1.106947184
,,,,,
100,[158977.67],153757.17,[5220.647],0.16099414,1.107536316
,,,,,
101,[156761.31],151543.05,[5218.293],0.16146578,1.108069777
,,,,,
102,[157531.98],152320,[5211.9443],0.16204411,1.108550072
,,,,,
103,[157062.47],151851.55,[5211.116],0.16261569,1.10912025
,,,,,
104,[156136.92],150930.44,[5206.543],0.16314296,1.109564304
,,,,,
105,[155560.92],150360.56,[5200.281],0.16360492,1.110033751
,,,,,
106,[156195.12],151000.44,[5194.724],0.16411138,1.110529661
,,,,,
107,[156170.],150981.52,[5188.6597],0.16455217,1.110989928
,,,,,
108,[154664.31],149485.77,[5178.509],0.16498514,1.111489296
,,,,,
109,[155202.19],150034.22,[5168.0923],0.16548774,1.112083435
,,,,,
110,[155623.78],150461.44,[5162.3003],0.16599436,1.112589836
,,,,,
111,[154257.55],149100,[5157.621],0.16647889,1.113122582
,,,,,
112,[154951.84],149800.6,[5151.1704],0.16695014,1.113661051
,,,,,
113,[156534.5],151388.66,[5145.899],0.16763614,1.114343405
,,,,,
114,[154435.2],149292.83,[5142.3677],0.16813567,1.114887953
,,,,,
115,[155299.25],150161.86,[5137.451],0.16870472,1.115434647
,,,,,
116,[155425.6],150292.06,[5133.3184],0.16933037,1.116055489
,,,,,
117,[155529.6],150394.2,[5135.223],0.16993758,1.116707444
,,,,,
118,[154012.36],148875.36,[5137.076],0.17049655,1.117272735
,,,,,
119,[153102.92],147966.16,[5136.7666],0.17093498,1.117659688
,,,,,
120,[154209.84],149074.39,[5135.325],0.17145845,1.118218064
,,,,,
121,[155083.11],149949.1,[5134.0596],0.17199078,1.118823647
,,,,,
122,[153886.55],148753.22,[5133.334],0.17255771,1.119467497
,,,,,
123,[154573.33],149439,[5134.3555],0.17312513,1.120096445
,,,,,
124,[152857.23],147725.03,[5132.1543],0.17354125,1.12052846
,,,,,
125,[152172.84],147046.33,[5126.4326],0.17397863,1.120936871
,,,,,
126,[152160.39],147035.77,[5124.3706],0.17444171,1.121393442
,,,,,
127,[153204.5],148080.08,[5124.4854],0.17502978,1.121994019
,,,,,
128,[151435.42],146311.22,[5124.2524],0.17552865,1.122582078
,,,,,
129,[151710.81],146587.44,[5123.3877],0.17604718,1.123142004
,,,,,
130,[151941.39],146818.83,[5122.565],0.17656802,1.123748779
,,,,,
131,[152867.25],147740.75,[5126.589],0.17717662,1.124452353
,,,,,
132,[152197.36],147066.38,[5131.137],0.17779547,1.12514627
,,,,,
133,[151547.36],146411.1,[5136.3247],0.17839162,1.125801325
,,,,,
134,[153083.38],147940.08,[5143.35],0.17899732,1.126420736
,,,,,
135,[151650.1],146504.05,[5145.977],0.17943203,1.126879096
,,,,,
136,[151229.2],146080.22,[5149.0356],0.1800063,1.127575874
,,,,,
137,[152095.05],146940.9,[5154.1616],0.18059,1.128234386
,,,,,
138,[151346.47],146187.89,[5158.502],0.18111487,1.128816366
,,,,,
139,[151556.81],146400.03,[5156.8325],0.18148082,1.129236817
,,,,,
140,[150472.84],145319.17,[5153.583],0.18190086,1.129817605
,,,,,
141,[150226.92],145073.89,[5152.8984],0.18236504,1.13046968
,,,,,
142,[150542.66],145389.89,[5152.7153],0.18287672,1.13106823
,,,,,
143,[150387.73],145231.8,[5155.898],0.18337499,1.131619215
,,,,,
144,[150758.45],145602.72,[5155.68],0.18386003,1.132223129
,,,,,
145,[149909.25],144752.3,[5157.0117],0.18435913,1.132810116
,,,,,
146,[150854.72],145696.36,[5158.381],0.18481958,1.133342981
,,,,,
147,[149950.3],144789.47,[5160.8936],0.18531422,1.133980989
,,,,,
148,[149268.64],144107.39,[5161.215],0.18572952,1.134499073
,,,,,
149,[148644.53],143485.34,[5159.176],0.18605913,1.134937763
,,,,,
150,[149516.19],144358.86,[5157.195],0.18658675,1.135632515
,,,,,
151,[149902.08],144745.53,[5156.566],0.18709336,1.13627553
,,,,,
152,[148851.33],143696.5,[5154.7495],0.18748666,1.136769891
,,,,,
153,[148173.67],143021.9,[5151.829],0.18789297,1.137257576
,,,,,
154,[149520.64],144369.84,[5150.7334],0.18837978,1.137902856
,,,,,
155,[149935.94],144783.28,[5152.6694],0.18893102,1.138537884
,,,,,
156,[148409.23],143258.42,[5150.868],0.18932067,1.139044285
,,,,,
157,[148486.48],143334.62,[5151.911],0.18977351,1.139716268
,,,,,
158,[148209.7],143062.27,[5147.4053],0.1901288,1.140152931
,,,,,
