epoch,elbo,nll,kl,prior_std
10400,[6638.199],13.482807,[6624.717],tensor(0.0500)
10500,[6713.3057],108.526276,[6604.7793],tensor(0.0500)
10600,[6634.0415],48.785114,[6585.2563],tensor(0.0500)
10700,[6544.7007],-21.322346,[6566.023],tensor(0.0500)
10800,[6591.0293],44.09973,[6546.9297],tensor(0.0500)
10900,[6589.5713],61.338512,[6528.233],tensor(0.0500)
11000,[6497.8276],-11.819487,[6509.6475],tensor(0.0500)
11100,[6497.457],6.302658,[6491.1543],tensor(0.0500)
11200,[6483.062],9.987119,[6473.075],tensor(0.0500)
11300,[6459.157],4.07125,[6455.086],tensor(0.0500)
11400,[6478.5557],41.194332,[6437.3613],tensor(0.0500)
11500,[6402.757],-17.064579,[6419.8213],tensor(0.0500)
11600,[6480.585],77.97663,[6402.6084],tensor(0.0500)
11700,[6467.843],82.30035,[6385.542],tensor(0.0500)
11800,[6398.9385],30.380505,[6368.5586],tensor(0.0500)
11900,[6340.552],-11.34197,[6351.8936],tensor(0.0500)
12000,[6328.0107],-7.442361,[6335.453],tensor(0.0500)
12100,[6324.377],5.321418,[6319.0557],tensor(0.0500)
12200,[6303.1265],0.18598127,[6302.9404],tensor(0.0500)
12300,[6268.1807],-18.83833,[6287.0195],tensor(0.0500)
12400,[6261.333],-9.819227,[6271.1523],tensor(0.0500)
12500,[6269.587],14.321752,[6255.265],tensor(0.0500)
12600,[6274.464],34.820156,[6239.644],tensor(0.0500)
12700,[6215.91],-8.3381195,[6224.2485],tensor(0.0500)
12800,[6246.721],38.008995,[6208.712],tensor(0.0500)
12900,[6208.4844],14.872999,[6193.6113],tensor(0.0500)
13000,[6232.086],53.66007,[6178.426],tensor(0.0500)
13100,[6171.3438],7.9229727,[6163.421],tensor(0.0500)
13200,[6136.784],-11.863028,[6148.6475],tensor(0.0500)
13300,[6168.214],34.169575,[6134.044],tensor(0.0500)
13400,[6125.208],5.562025,[6119.6465],tensor(0.0500)
13500,[6138.4414],33.039692,[6105.4014],tensor(0.0500)
13600,[6121.3184],29.901756,[6091.417],tensor(0.0500)
13700,[6093.8984],16.408573,[6077.49],tensor(0.0500)
13800,[6063.1616],-0.47385323,[6063.6353],tensor(0.0500)
13900,[6111.157],61.12653,[6050.0303],tensor(0.0500)
14000,[6086.3477],49.911293,[6036.4365],tensor(0.0500)
14100,[6145.1377],121.88974,[6023.248],tensor(0.0500)
14200,[6034.558],24.51897,[6010.039],tensor(0.0500)
14300,[5983.9355],-12.94681,[5996.8823],tensor(0.0500)
14400,[6006.441],22.422894,[5984.0176],tensor(0.0500)
14500,[6013.2334],42.098473,[5971.135],tensor(0.0500)
14600,[5977.0254],18.655954,[5958.3696],tensor(0.0500)
14700,[6059.5146],113.90756,[5945.6074],tensor(0.0500)
14800,[5930.135],-3.0832076,[5933.218],tensor(0.0500)
14900,[5944.6855],23.8652,[5920.8203],tensor(0.0500)
15000,[5971.0356],62.578644,[5908.457],tensor(0.0500)
15100,[5950.718],54.44419,[5896.2734],tensor(0.0500)
15200,[5956.6895],72.497025,[5884.1924],tensor(0.0500)
15300,[5869.3506],-2.9206362,[5872.2715],tensor(0.0500)
15400,[5937.7266],77.23468,[5860.492],tensor(0.0500)
15500,[5861.592],12.588062,[5849.0034],tensor(0.0500)
15600,[5880.733],43.137512,[5837.5957],tensor(0.0500)
15700,[5818.3545],-8.159199,[5826.5137],tensor(0.0500)
15800,[5855.58],39.777367,[5815.8027],tensor(0.0500)
15900,[5814.9424],9.866858,[5805.075],tensor(0.0500)
16000,[5803.995],9.556856,[5794.4385],tensor(0.0500)
16100,[5806.155],22.245815,[5783.909],tensor(0.0500)
16200,[5756.211],-17.252802,[5773.464],tensor(0.0500)
16300,[5814.355],51.314568,[5763.04],tensor(0.0500)
16400,[5796.437],43.71459,[5752.7227],tensor(0.0500)
16500,[5737.705],-4.947407,[5742.6523],tensor(0.0500)
16600,[5744.708],12.10205,[5732.6055],tensor(0.0500)
16700,[5728.7725],6.055158,[5722.718],tensor(0.0500)
16800,[5723.028],10.114659,[5712.913],tensor(0.0500)
16900,[5699.461],-3.955186,[5703.416],tensor(0.0500)
17000,[5688.7764],-5.023873,[5693.801],tensor(0.0500)
17100,[5681.531],-3.0353084,[5684.566],tensor(0.0500)
17200,[5687.7705],12.376545,[5675.3936],tensor(0.0500)
17300,[5671.6245],5.3938875,[5666.2305],tensor(0.0500)
17400,[5695.62],38.433575,[5657.1865],tensor(0.0500)
17500,[5734.825],86.48323,[5648.3423],tensor(0.0500)
17600,[5675.1196],35.409157,[5639.7104],tensor(0.0500)
17700,[5641.873],10.860346,[5631.0127],tensor(0.0500)
17800,[5625.009],2.5082707,[5622.501],tensor(0.0500)
17900,[5637.4546],23.467295,[5613.9873],tensor(0.0500)
18000,[5667.541],61.92605,[5605.615],tensor(0.0500)
18100,[5631.849],34.467308,[5597.382],tensor(0.0500)
18200,[5657.5938],68.39487,[5589.198],tensor(0.0500)
18300,[5608.233],26.8997,[5581.333],tensor(0.0500)
18400,[5577.5957],4.0807467,[5573.515],tensor(0.0500)
18500,[5585.573],19.80503,[5565.768],tensor(0.0500)
18600,[5623.516],65.44425,[5558.072],tensor(0.0500)
18700,[5558.838],8.240004,[5550.598],tensor(0.0500)
18800,[5599.549],56.48826,[5543.061],tensor(0.0500)
18900,[5629.1377],93.52928,[5535.6084],tensor(0.0500)
19000,[5525.43],-2.9385538,[5528.3687],tensor(0.0500)
19100,[5554.562],33.446533,[5521.115],tensor(0.0500)
19200,[5532.115],17.977665,[5514.137],tensor(0.0500)
19300,[5517.575],10.431728,[5507.1436],tensor(0.0500)
19400,[5515.1777],14.927021,[5500.251],tensor(0.0500)
19500,[5509.076],15.581424,[5493.495],tensor(0.0500)
19600,[5502.279],15.409361,[5486.869],tensor(0.0500)
19700,[5504.008],23.687431,[5480.3203],tensor(0.0500)
19800,[5510.8325],36.88183,[5473.9507],tensor(0.0500)
19900,[5473.924],6.3865542,[5467.5376],tensor(0.0500)
20000,[5473.538],12.408029,[5461.1304],tensor(0.0500)
20100,[5479.6484],24.691917,[5454.9565],tensor(0.0500)
20200,[5465.674],16.760511,[5448.913],tensor(0.0500)
20300,[5469.1895],26.239906,[5442.95],tensor(0.0500)
20400,[5447.325],10.285907,[5437.039],tensor(0.0500)
20500,[5466.6963],35.484722,[5431.212],tensor(0.0500)
20600,[5464.443],39.063343,[5425.3794],tensor(0.0500)
20700,[5446.0176],26.345222,[5419.672],tensor(0.0500)
20800,[5413.54],-0.4869957,[5414.0273],tensor(0.0500)
20900,[5477.1167],68.77152,[5408.345],tensor(0.0500)
21000,[5404.555],1.604991,[5402.95],tensor(0.0500)
21100,[5439.677],42.030388,[5397.6465],tensor(0.0500)
21200,[5431.3955],39.098152,[5392.2974],tensor(0.0500)
21300,[5417.121],30.095016,[5387.0264],tensor(0.0500)
21400,[5413.8193],31.937456,[5381.882],tensor(0.0500)
21500,[5443.039],66.24258,[5376.7964],tensor(0.0500)
21600,[5434.9263],63.121315,[5371.8047],tensor(0.0500)
21700,[5371.6665],4.635553,[5367.031],tensor(0.0500)
21800,[5389.4336],27.213985,[5362.2197],tensor(0.0500)
21900,[5368.5986],11.1172695,[5357.4814],tensor(0.0500)
22000,[5389.2236],36.367947,[5352.8555],tensor(0.0500)
22100,[5362.774],14.5409155,[5348.2334],tensor(0.0500)
22200,[5393.8394],50.21446,[5343.625],tensor(0.0500)
22300,[5369.6704],30.436852,[5339.2334],tensor(0.0500)
22400,[5358.7773],23.846107,[5334.9307],tensor(0.0500)
22500,[5356.7373],26.10766,[5330.6294],tensor(0.0500)
22600,[5350.9736],24.541574,[5326.4316],tensor(0.0500)
22700,[5347.7983],25.595913,[5322.202],tensor(0.0500)
22800,[5337.1597],19.151398,[5318.0083],tensor(0.0500)
22900,[5335.336],21.391907,[5313.9443],tensor(0.0500)
23000,[5320.317],10.348418,[5309.9688],tensor(0.0500)
23100,[5334.8857],29.009937,[5305.876],tensor(0.0500)
23200,[5311.307],9.350979,[5301.956],tensor(0.0500)
23300,[5330.209],32.170345,[5298.0386],tensor(0.0500)
23400,[5318.0967],23.84763,[5294.249],tensor(0.0500)
23500,[5329.535],39.024616,[5290.5107],tensor(0.0500)
23600,[5376.925],90.276764,[5286.648],tensor(0.0500)
23700,[5293.1914],10.315314,[5282.876],tensor(0.0500)
23800,[5300.2505],21.158554,[5279.092],tensor(0.0500)
23900,[5294.908],19.463388,[5275.4453],tensor(0.0500)
24000,[5309.743],37.752388,[5271.9907],tensor(0.0500)
24100,[5291.5723],23.017912,[5268.5537],tensor(0.0500)
24200,[5307.551],42.46347,[5265.087],tensor(0.0500)
24300,[5364.6035],102.97033,[5261.633],tensor(0.0500)
24400,[5273.8003],15.323696,[5258.4766],tensor(0.0500)
24500,[5293.1626],37.965828,[5255.197],tensor(0.0500)
24600,[5280.732],28.681137,[5252.051],tensor(0.0500)
24700,[5260.251],11.362964,[5248.8887],tensor(0.0500)
24800,[5285.416],39.689407,[5245.7266],tensor(0.0500)
24900,[5246.8423],4.181615,[5242.6606],tensor(0.0500)
25000,[5239.836],0.17705989,[5239.659],tensor(0.0500)
25100,[5245.7354],9.196376,[5236.5386],tensor(0.0500)
25200,[5244.961],11.523587,[5233.4375],tensor(0.0500)
25300,[5254.055],23.52473,[5230.5303],tensor(0.0500)
