epoch,elbo,nll,kl,prior_std
100,[778.28345],472.24292,[306.04053],0.9936824042963142
200,[758.584],454.45288,[304.13113],0.9873748502800764
300,[773.48804],471.10034,[302.3877],0.9810915503811087
400,[751.959],451.19556,[300.76343],0.9748434321735704
500,[704.20135],404.9447,[299.25665],0.9686376738559975
600,[674.31274],376.4151,[297.8976],0.962486038017865
700,[674.7229],378.1053,[296.61758],0.9563965462325634
800,[611.8128],316.39197,[295.42084],0.9503765309223904
900,[622.76514],328.451,[294.31418],0.9444253940470362
1000,[643.2118],349.9088,[293.303],0.9385528973365928
1100,[606.5254],314.1416,[292.3838],0.9327630378493921
1200,[591.9292],300.4195,[291.5097],0.9270628842371271
1300,[561.3682],270.67123,[290.697],0.9214472046990698
1400,[590.4165],300.4842,[289.93228],0.9159252403036975
1500,[529.39557],240.12544,[289.27014],0.9104985280897867
