epoch,elbo,nll,kl,prior_std
29,[9515.17],857.4675,[8657.702],0.0050223996,0.05027124638749279
30,[9515.057],875.9093,[8639.146],0.0050223996,0.0502805748769381
31,[9472.395],851.74133,[8620.653],0.0050223996,0.05028990117173785
32,[9473.193],870.9874,[8602.206],0.0050223996,0.05029922522808294
33,[9488.127],904.29785,[8583.828],0.0050223996,0.05030854700745243
34,[9440.598],875.09766,[8565.5],0.0050223996,0.05031786647389985
35,[9418.295],871.05066,[8547.244],0.0050223996,0.05032718359500338
36,[9441.96],912.9267,[8529.033],0.0050223996,0.050336498341266175
37,[9419.27],908.36957,[8510.899],0.0050223996,0.05034581068621752
38,[9416.96],924.1339,[8492.826],0.0050223996,0.05035512060509181
39,[9430.619],955.7826,[8474.836],0.0050223996,0.050364428075681617
40,[9338.809],881.91486,[8456.894],0.0050223996,0.050373733076548785
41,[9289.652],850.6364,[8439.016],0.0050223996,0.05038303558849848
42,[9270.644],849.4424,[8421.201],0.0050223996,0.05039233559543843
43,[9306.971],903.5348,[8403.437],0.0050223996,0.05040163308354481
44,[9256.415],870.6749,[8385.74],0.0050223996,0.05041092804014176
45,[9242.595],874.47864,[8368.115],0.0050223996,0.05042022045354997
46,[9186.842],836.2929,[8350.549],0.0050223996,0.05042951031352558
47,[9196.262],863.23364,[8333.028],0.0050223996,0.05043879761092428
48,[9219.431],903.8801,[8315.551],0.0050223996,0.05044808233715037
49,[9178.584],880.43896,[8298.145],0.0050223996,0.050457364483923656
50,[9156.318],875.5187,[8280.799],0.0050223996,0.050466644042892334
51,[9129.166],865.64484,[8263.521],0.0050223996,0.050475921006732205
52,[9102.453],856.1604,[8246.293],0.0050223996,0.05048519536911786
53,[9081.891],852.77856,[8229.112],0.0050223996,0.0504944671242561
54,[9085.956],873.9553,[8212.],0.0050223996,0.05050373626699635
55,[9064.564],869.5971,[8194.967],0.0050223996,0.050513002793014156
56,[9021.751],843.76733,[8177.9834],0.0050223996,0.05052226669916507
57,[9006.072],845.04645,[8161.0254],0.0050223996,0.05053152798219336
58,[9015.538],871.4322,[8144.106],0.0050223996,0.05054078663898204
59,[8990.437],863.1838,[8127.253],0.0050223996,0.05055004266641004
60,[8937.194],826.7358,[8110.4585],0.0050223996,0.050559296061768705
61,[8940.994],847.29706,[8093.6978],0.0050223996,0.05056854682282756
62,[8952.514],875.5209,[8076.993],0.0050223996,0.05057779494833402
63,[8929.504],869.14453,[8060.3594],0.0050223996,0.050587040436942385
64,[8856.488],812.7011,[8043.787],0.0050223996,0.05059628328714869
65,[8877.342],850.0978,[8027.2437],0.0050223996,0.050605523497527866
66,[8886.07],875.3059,[8010.7646],0.0050223996,0.050614761067297384
67,[8908.582],914.2362,[7994.346],0.0050223996,0.05062399599509028
68,[8867.169],889.16925,[7978.],0.0050223996,0.05063322827917281
69,[8838.475],876.76215,[7961.712],0.0050223996,0.05064245791793871
70,[8808.532],863.0366,[7945.4956],0.0050223996,0.0506516849109223
71,[8789.553],860.2243,[7929.329],0.0050223996,0.050660909257837616
72,[8765.019],851.8053,[7913.213],0.0050223996,0.05067013095853884
73,[8774.209],877.0521,[7897.157],0.0050223996,0.05067935001346504
74,[8753.461],872.29126,[7881.1694],0.0050223996,0.05068856642362617
75,[8729.342],864.09235,[7865.249],0.0050223996,0.05069778019025113
76,[8687.096],837.72986,[7849.366],0.0050223996,0.05070699131369871
77,[8667.037],833.5172,[7833.5195],0.0050223996,0.05071619979418124
78,[8666.404],848.70154,[7817.702],0.0050223996,0.050725405631897126
79,[8661.979],860.0371,[7801.941],0.0050223996,0.050734608826635046
80,[8683.118],896.89087,[7786.2275],0.0050223996,0.05074380937820673
81,[8638.135],867.5438,[7770.591],0.0050223996,0.050753007286261295
82,[8622.631],867.61163,[7755.0186],0.0050223996,0.05076220255034106
83,[8603.08],863.5801,[7739.5],0.0050223996,0.050771395170158426
84,[8620.302],896.27814,[7724.0234],0.0050223996,0.05078058514594638
85,[8566.664],858.059,[7708.6055],0.0050223996,0.05078977247876949
86,[8574.85],881.6067,[7693.242],0.0050223996,0.05079895716969364
87,[8541.179],863.25684,[7677.922],0.0050223996,0.050808139220046455
88,[8528.213],865.5785,[7662.635],0.0050223996,0.050817318630971484
89,[8533.441],886.03186,[7647.4097],0.0050223996,0.05082649540388168
90,[8498.056],865.8209,[7632.235],0.0050223996,0.05083566954095581
91,[8446.013],828.91406,[7617.0986],0.0050223996,0.050844841043963335
92,[8462.448],860.4585,[7601.9897],0.0050223996,0.05085400991456451
93,[8440.344],853.417,[7586.9263],0.0050223996,0.050863176154068275
94,[8459.302],887.38226,[7571.92],0.0050223996,0.05087233976418201
95,[8408.944],852.00543,[7556.9385],0.0050223996,0.05088150074628045
96,[8397.941],855.93994,[7542.002],0.0050223996,0.05089065910145578
97,[8415.68],888.53955,[7527.1396],0.0050223996,0.050899814831567844
98,[8380.546],868.2294,[7512.3164],0.0050223996,0.05090896793843515
99,[8346.896],849.339,[7497.5576],0.0050223996,0.050918118424436803
100,[8325.75],842.90393,[7482.8457],0.0050223996,0.050927266292397785
101,[8332.237],864.0572,[7468.1807],0.0050223996,0.05093641154508165
102,[8371.136],917.5869,[7453.549],0.0050223996,0.050945554184374346
103,[8319.096],880.1466,[7438.949],0.0050223996,0.05095469421064694
104,[8276.551],852.1642,[7424.386],0.0050223996,0.05096383162426079
105,[8229.949],820.0755,[7409.874],0.0050223996,0.05097296642633873
106,[8260.516],865.1057,[7395.41],0.0050223996,0.05098209861943956
107,[8243.404],862.4287,[7380.9756],0.0050223996,0.05099122820642646
108,[8207.709],841.1034,[7366.6055],0.0050223996,0.05100035518993151
109,[8193.936],841.637,[7352.2983],0.0050223996,0.05100947957246635
110,[8165.9883],827.95416,[7338.034],0.0050223996,0.051018601356883526
111,[8148.6396],824.8195,[7323.8203],0.0050223996,0.05102772054651861
112,[8134.6846],825.0392,[7309.645],0.0050223996,0.05103683714437877
113,[8138.289],842.7824,[7295.5063],0.0050223996,0.05104595115317506
114,[8184.756],903.3402,[7281.415],0.0050223996,0.05105506257572136
115,[8131.688],864.3085,[7267.379],0.0050223996,0.0510641714135851
116,[8121.74],868.33496,[7253.4053],0.0050223996,0.05107327766889248
117,[8106.308],866.8314,[7239.4766],0.0050223996,0.05108238134375426
118,[8085.539],859.91943,[7225.6196],0.0050223996,0.05109148244076882
119,[8064.741],852.9386,[7211.8027],0.0050223996,0.05110058096170936
120,[8074.802],876.788,[7198.0137],0.0050223996,0.05110967690866474
121,[8057.104],872.8171,[7184.287],0.0050223996,0.05111877028427156
122,[8014.553],843.94165,[7170.6113],0.0050223996,0.05112786109023362
123,[8027.0737],870.1052,[7156.9683],0.0050223996,0.05113694932864585
124,[8021.258],877.9105,[7143.347],0.0050223996,0.051146035000946596
125,[7977.1924],847.41125,[7129.7812],0.0050223996,0.051155118109241574
126,[7966.369],850.12067,[7116.248],0.0050223996,0.051164198655760856
127,[7959.9688],857.20184,[7102.7666],0.0050223996,0.05117327664300847
128,[7933.832],844.51385,[7089.3184],0.0050223996,0.05118235207335626
129,[7901.468],825.57043,[7075.8975],0.0050223996,0.051191424948759966
130,[7942.59],880.0774,[7062.512],0.0050223996,0.051200495271234395
131,[7900.1816],851.0127,[7049.169],0.0050223996,0.05120956304255356
132,[7917.5366],881.67456,[7035.8623],0.0050223996,0.05121862826479676
133,[7857.6865],835.09753,[7022.589],0.0050223996,0.051227690938976084
134,[7865.4805],856.12646,[7009.354],0.0050223996,0.05123675106697288
135,[7849.5615],853.36285,[6996.1987],0.0050223996,0.05124580865143831
136,[7863.5356],880.43896,[6983.0967],0.0050223996,0.05125486369474232
137,[7790.951],820.9054,[6970.046],0.0050223996,0.05126391619997071
138,[7821.676],864.64307,[6957.0327],0.0050223996,0.05127296617035639
139,[7788.1177],844.0646,[6944.053],0.0050223996,0.05128201360902056
140,[7783.123],852.0315,[6931.092],0.0050223996,0.051291058518652455
141,[7766.9355],848.76605,[6918.169],0.0050223996,0.051300100902216095
142,[7778.294],873.0309,[6905.2627],0.0050223996,0.051309140762214114
143,[7760.15],867.739,[6892.411],0.0050223996,0.051318178101300946
144,[7724.125],844.5061,[6879.6187],0.0050223996,0.05132721292235607
145,[7700.097],833.22705,[6866.87],0.0050223996,0.051336245228731855
146,[7696.2437],842.09296,[6854.1504],0.0050223996,0.05134527502366148
147,[7680.2905],838.8262,[6841.465],0.0050223996,0.05135430231089653
148,[7648.0615],819.24304,[6828.819],0.0050223996,0.05136332709410515
149,[7688.8403],872.6384,[6816.2017],0.0050223996,0.05137234937651237
150,[7668.0024],864.36865,[6803.634],0.0050223996,0.051381369161175944
151,[7630.3477],839.22144,[6791.126],0.0050223996,0.05139038645166919
152,[7624.1855],845.51794,[6778.668],0.0050223996,0.05139940125171051
153,[7622.284],856.04095,[6766.243],0.0050223996,0.05140841356507214
154,[7572.254],818.40607,[6753.8477],0.0050223996,0.05141742339487117
155,[7584.734],843.245,[6741.4893],0.0050223996,0.05142643074427832
156,[7565.356],836.20337,[6729.1523],0.0050223996,0.05143543561578087
157,[7572.117],855.28046,[6716.837],0.0050223996,0.051444438010892386
158,[7629.9746],925.4066,[6704.5684],0.0050223996,0.05145343793079209
159,[7530.427],838.0818,[6692.3447],0.0050223996,0.05146243537699849
160,[7536.119],855.94293,[6680.177],0.0050223996,0.05147143035141239
161,[7514.001],845.95447,[6668.047],0.0050223996,0.051480422856230945
162,[7509.599],853.63434,[6655.965],0.0050223996,0.051489412894065834
163,[7502.8765],858.9397,[6643.9365],0.0050223996,0.05149840046823377
164,[7438.667],806.71185,[6631.955],0.0050223996,0.051507385581579655
165,[7443.5596],823.54016,[6620.0195],0.0050223996,0.05151636823756968
166,[7473.3525],865.2295,[6608.123],0.0050223996,0.05152534844009346
167,[7454.6934],858.4483,[6596.245],0.0050223996,0.051534326191781346
168,[7426.052],841.653,[6584.3994],0.0050223996,0.05154330149508431
169,[7418.836],846.2403,[6572.5957],0.0050223996,0.051552274352616445
170,[7410.4214],849.61273,[6560.8086],0.0050223996,0.051561244766264704
171,[7412.3145],863.2796,[6549.034],0.0050223996,0.0515702127374128
172,[7394.3613],857.08264,[6537.2783],0.0050223996,0.051579178266591766
173,[7364.717],839.1495,[6525.5674],0.0050223996,0.05158814135512478
174,[7366.906],853.0103,[6513.8955],0.0050223996,0.05159710200436248
175,[7330.69],828.4259,[6502.2637],0.0050223996,0.05160606021613126
176,[7359.745],869.0838,[6490.661],0.0050223996,0.051615015992527484
177,[7320.5283],841.41394,[6479.1143],0.0050223996,0.051623969336319984
178,[7303.1006],835.503,[6467.5977],0.0050223996,0.05163292025084494
179,[7325.244],869.13086,[6456.1133],0.0050223996,0.05164186873945746
